Open,High,Low,Close,Volume,Market Cap
13.57,23.37,lis.98,15.67,6200000,89600000
15.56,17.57,14.lip,15.26,591400,102100000
15.31,16.36,13.47,14.63,552000,100300000
14.86,16.68,14.71,15.99,405600,92800000
15.96,17.51,15.54,17.20,825600,98500000
17.22,17.79,16.59,16.92,801800,112000000
17,18.97,17,18.90,1200000,103900000
18.93,22.95,18.93,22.18,2500000,113900000
22.19,24.19,21.99,24.19,1500000,136700000
24.mar,25.66,23.84,25.59,2700000,149800000
25.53,25.80,24.94,25.55,1700000,163900000
25.55,32.86,25.55,32.14,2200000,148700000
32.24,39.78,32.24,37.99,2400000,194700000
38,38.39,35.20,35.93,3100000,251900000
36.18,41.43,35.42,41.43,2200000,218000000
41.33,50.40,41.25,49.97,2800000,245500000
50.04,59.60,42.61,54.04,3800000,311500000
54.11,57.52,50.63,53,1800000,367500000
53.42,53.42,41.72,45.68,2300000,380200000
45.92,50.87,45.92,50.87,1600000,292700000
50.89,53.96,46.35,47.83,1800000,355000000
48.01,50.28,43.45,49.18,1700000,312700000
49.16,51.44,46.92,50.94,1400000,321600000
50.69,51.19,50.27,51.03,1400000,339300000
51.02,51.62,50.50,50.90,1100000,344000000
50.96,51.66,50.90,51.38,1800000,342200000
51.36,52.76,51.08,52.42,2000000,342700000
52.41,52.67,48.98,51.27,2000000,353800000
51.25,52.30,50.28,52.30,2300000,340800000
52.31,56.73,51.25,55.67,2400000,342700000
55.65,56.40,51.81,52.87,2300000,385600000
52.76,54.14,50.46,51.16,2500000,363800000
51.11,52.74,47.31,48.33,2200000,357300000
49.50,50.77,46.29,50.56,2400000,327200000
51.31,52.62,49.94,52.11,3000000,344300000
52.06,52.82,51.04,51.84,2900000,354400000
51.94,53.10,50.86,51.39,2100000,356200000
51.37,52.15,49.61,50.04,2700000,355000000
50.04,52.40,49.62,52.04,1300000,334400000
51.81,54.06,51.35,53.36,3400000,348600000
53.24,55.52,53.22,55.48,2700000,356200000
55.52,57.30,53.62,57.08,3000000,371300000
57.11,63.80,56.92,59.06,3300000,391700000
59.13,59.79,56.58,56.58,4200000,415100000
56.60,60.25,56.60,60.18,2400000,376400000
60.22,60.45,58.61,58.96,2000000,417200000
58.67,59.60,53.45,53.97,2900000,421000000
53.64,56.96,53.28,55.07,2800000,366300000
54.99,58.86,53.61,58.26,2700000,367500000
57.99,58.89,57.02,57.64,3000000,402100000
57.60,58.57,53.94,55.53,3400000,404400000
55.45,55.55,44.57,44.57,2700000,430800000
44.22,50.56,29.87,48.05,2100000,234300000
47.74,55.83,47.74,55.49,3800000,262300000
55.72,59.98,53.81,58.29,3500000,321800000
58.38,60.22,55.72,56.61,3100000,352300000
56.44,72,56.44,69.79,4400000,305000000
70.31,70.55,65.47,67.21,4200000,431100000
67.23,70.84,65.63,67.31,3100000,412500000
67.36,67.85,58.75,60.14,2100000,434100000
61.33,68.22,58.44,67.02,4000000,356300000
67.01,67.01,60.14,63.65,3600000,418300000
63.57,64.46,60.63,62.68,3400000,399600000
63.01,66.09,62.21,65.09,3500000,389500000
65.28,69.94,64.79,69.28,4200000,398600000
69.08,69.23,64.04,64.96,2900000,447100000
65.08,65.16,61.26,61.52,2100000,421400000
61.29,66.64,57.91,66.14,1600000,368100000
65.98,66.14,41.09,52.44,261100,448000000
50.73,70.30,49.78,64.93,3300000,292100000
65.09,69.85,64.73,69.35,4400000,400900000
69.41,71.10,67.85,70.90,4800000,434500000
70.72,80.61,70.72,79.13,4200000,428300000
79.13,81.21,75.75,79.32,3400000,501200000
79.20,84.90,78.36,83.05,4500000,494900000
83.13,87.32,83.03,86.51,8100000,521400000
86.45,86.89,83.16,85.91,6600000,551000000
85.94,92.18,85.46,91.54,8200000,533600000
91.57,100.27,91.22,98.96,8500000,566400000
98.88,106.88,97.91,104.76,6400000,618300000
104.71,113.37,100.17,103.23,5100000,686800000
103.30,112.83,98.87,112.74,7800000,630200000
113.03,116.79,104.35,112.26,8400000,724100000
112.38,119.40,107.07,119.36,8100000,695700000
119.23,122.90,115.32,117.90,9400000,775900000
117.65,124.19,115.06,121.08,7900000,750500000
121.01,132.04,111.47,120.04,6800000,790200000
119.53,119.61,114.63,116.77,4700000,780100000
116.32,118.05,112.68,115.91,7700000,753200000
116.16,121.95,106.55,120.44,6300000,728000000
120.20,130.43,119.72,127.97,9700000,760300000
128.05,131.49,119.89,127.07,8600000,829900000
123.40,149.89,38.98,100.87,3400000,822900000
100.14,136.51,93.25,116.13,995100,626800000
116.11,129.98,101.65,114.99,4900000,762300000
114.84,120.45,86.11,118.75,6400000,695300000
119.01,129.24,114.84,128.24,9900000,745600000
128.05,137.29,127.68,136.06,9900000,815200000
135.60,136.88,132.24,135.63,6600000,885400000
135.66,140.97,133.47,140.97,7900000,870000000
141.11,142.80,128,131.33,5100000,958500000
131.71,135.06,125.87,130.99,5200000,866300000
128.26,129.55,110.68,114.13,30400000,893300000
114.74,131.57,108.93,129.42,8500000,708500000
130.25,142.16,128.85,136.18,8000000,852000000
135.88,138.67,132.52,137.61,7600000,892300000
137.68,139.78,123.23,128.29,7100000,942800000
128.51,131.51,125.21,130.05,6200000,846400000
129.70,129.70,118.94,122.92,4600000,880400000
121.88,128.20,120.76,125.70,7100000,802200000
125.29,130.91,122.22,123.50,6900000,849300000
123.14,123.70,112.60,115.97,6300000,842700000
115.97,117.38,96.71,96.71,6400000,855600000
97.42,113.75,89.36,111.22,8500000,603500000
111.11,116.01,105.02,109.85,5700000,749000000
109.75,110.94,102.82,106.84,5400000,742400000
106.62,122.24,106.49,122,8200000,671900000
122.20,123.11,114.60,117.67,9200000,834800000
117.55,121.49,114.45,117.25,8500000,795100000
116.67,117.45,107.42,108.74,6400000,814700000
108.61,113.21,107.07,109.69,6900000,733100000
109.38,113.91,108.24,113.17,5600000,726400000
113.12,113.27,108.57,110.11,5000000,773600000
109.68,119.57,109.51,117.50,10400000,721200000
117.50,120.41,116.41,117.76,10600000,798500000
117.41,127.13,117.36,126.31,10500000,773100000
126.30,131.58,125.18,131.26,12800000,844000000
131.15,132.31,123.58,130.11,10900000,890000000
130.13,136.54,128.68,136.16,7800000,868100000
136.23,139.33,134.03,139.33,5800000,918100000
139.18,140.60,134.72,139.08,11100000,948900000
139.07,139.74,134.20,136.58,8300000,961500000
136.92,138.58,134.12,135.09,7500000,949500000
135.21,140.32,132.93,138.96,8200000,917400000
138.96,143.83,138.68,141.86,10800000,951300000
141.85,144.33,139.15,144.15,6300000,972100000
142.71,148.93,142.33,148.31,7000000,976700000
148.29,161.37,146.63,158.66,12600000,1000000000
158.71,166.74,158.71,161.25,13000000,1100000000
161.35,168.28,158.95,166.59,13000000,1100000000
166.71,188.09,166.23,188.09,15600000,1100000000
188.67,204.19,187.51,196.71,18200000,1300000000
196.68,201.51,193.34,199.74,12400000,1400000000
200.83,201.44,186.43,193.04,9200000,1500000000
193.05,200.68,190.65,199.63,14100000,1400000000
199.63,200.24,191.38,193.95,14100000,1500000000
193.93,196.44,178.70,195.38,13200000,1400000000
195.58,202.03,194.07,199.79,14100000,1400000000
199.81,216.68,198.23,213.46,15700000,1400000000
213.01,218.42,204.57,210.40,10200000,1500000000
208.51,210.75,198.85,205.04,9900000,1500000000
204.73,208.27,193.84,198.57,13700000,1500000000
196.65,201.47,186.31,193.70,12300000,1400000000
193.74,206.68,188.80,206.32,17000000,1400000000
206.38,220.18,205.15,216.59,15900000,1500000000
216.65,220.70,210.38,212.55,14000000,1600000000
213.13,217.36,209.66,211.84,10600000,1600000000
211.72,233.22,211.18,227.10,11100000,1500000000
225.77,230.18,223.09,228.12,22600000,1600000000
227.38,239.52,226.79,239.52,18400000,1600000000
239.45,251.29,234.88,250.93,24000000,1700000000
251.29,273.73,251.29,263.27,23900000,1800000000
262.93,284.64,260.10,271.12,25800000,1900000000
270.45,284.62,259.08,278.66,66900000,566900000
278.10,285.64,273.37,276.28,14600000,599100000
276.58,279.72,259.64,259.85,19400000,612100000
260.04,273.18,260.04,271.27,22700000,545500000
270.42,298.81,268.81,285.47,22600000,568900000
285.18,285.42,270.67,273.57,22700000,621200000
274.44,286.70,248.33,253.59,20900000,614900000
252.63,262.24,237.99,241.58,16000000,555900000
241.44,241.44,201.66,218,13200000,534300000
218.02,259.44,216.57,251.90,19900000,437600000
252.45,259.37,248.25,255.38,22800000,536600000
255.66,280.36,255.66,273.13,26900000,532800000
274.63,308.34,261.24,303.01,31000000,555800000
302.48,308.66,291,297.02,23600000,652800000
295.91,299.17,284.36,294.92,17800000,629800000
294.46,295.88,281.27,292.65,16800000,626200000
292.51,302.04,256.51,296.52,28200000,605100000
296.57,301.53,274.78,294.10,24000000,629000000
294.75,301.20,291.73,299.33,19600000,624800000
299.29,301,289.76,289.76,17600000,651400000
289.11,300.32,283.55,297.26,17300000,608400000
296.49,307.98,277.08,304.70,19100000,617000000
304.60,310,273.25,299.79,20600000,645000000
299.69,307.43,273.60,300.48,28600000,629700000
301.27,301.27,284.98,286.04,25400000,660700000
285.09,325.31,253.61,269.33,31200000,641300000
273.52,297.65,255.41,285.46,19700000,569500000
283.65,322.74,272.85,322.74,23600000,841300000
322.45,327.56,310.75,319.24,16100000,1000000000
318.83,342.51,296.17,311.99,16500000,1000000000
292.85,332.09,292.85,330.67,19100000,880600000
331.34,338.96,324.20,331.74,21200000,1100000000
331.14,371.27,331.14,369.24,31100000,1000000000
368.22,447.18,361.20,447.18,37400000,1100000000
447.95,453.42,356.84,409.73,24900000,1500000000
409.58,415.65,338.10,373.26,24800000,1300000000
374.78,384.96,328.65,374.21,26000000,1200000000
371.31,396.37,369.68,379.63,39200000,1800000000
380.64,399.23,371.33,387.75,27200000,1800000000
388.20,394.73,355.94,366.30,28900000,1900000000
365.37,383.02,360.52,373.44,13700000,1700000000
373.81,403.65,373.79,396.08,32600000,1700000000
400.71,461.08,395.56,457.47,26400000,1800000000
457.70,509.99,425.81,427.71,21500000,2300000000
428.94,476.62,409.93,430.04,26800000,2100000000
430.55,456.14,374.84,387.42,23500000,2200000000
387.11,393.70,348.98,362.78,18800000,1900000000
363.26,381.93,330.41,340.55,19700000,1800000000
341.75,344.77,244.23,289.79,22800000,2100000000
292.51,314.15,286.95,288.51,15800000,1800000000
291.72,291.72,224.09,241.63,14600000,1900000000
244.16,244.16,216.11,220.01,18900000,1500000000
