Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Close,market_cap,Volume,order_number,risk_of_PAD
2020-12-31,0,0,0.0588823529411764,0.8343529411764705,0.1067647058823529,3.3823529411764706,0.4117647058823529,0.0020241785577748,0.0,1782990.210787184,9,0
2021-01-01,1,0,0.0728,0.8355777777777778,0.0916666666666666,7.933333333333334,0.6,0.0019578590359866,0.0,1703083.8400206529,9,0
2021-01-02,2,0,0.0859428571428571,0.8311428571428572,0.0828857142857143,6.342857142857143,0.3142857142857143,0.001903109261233,0.0,1590030.1529726742,9,0
2021-01-03,3,0,0.0617,0.8707,0.0676,4.325,0.925,0.0019346287095643,0.0,1875854.796156993,9,0
2021-01-04,4,0,0.0642894736842105,0.835578947368421,0.1001315789473684,17.263157894736842,1.4736842105263157,0.0020438096813855,0.0,2139787.034044693,9,0
2021-01-05,5,0,0.0534761904761904,0.8605238095238096,0.0859523809523809,6.880952380952381,0.5952380952380952,0.0018208199605228,0.0,2169885.4711759994,9,0
2021-01-06,6,0,0.0445365853658536,0.8360243902439025,0.1194878048780487,22.365853658536587,1.7560975609756098,0.0018952877902727,0.0,2221490.024478273,9,0
2021-01-07,7,0,0.0616818181818181,0.8389545454545455,0.0993863636363636,2.477272727272727,0.1818181818181818,0.0019948347046889,0.0,2041109.7200581024,9,0
2021-01-08,8,0,0.0538421052631578,0.8647368421052631,0.0813947368421052,3.842105263157895,0.5526315789473685,0.0019737326672775,0.0,2399707.3959281505,9,0
2021-01-09,9,0,0.0454736842105263,0.8572368421052632,0.0973157894736842,11.81578947368421,0.8157894736842105,0.0018895646707733,0.0,2260756.611303712,9,0
2021-01-10,10,0,0.0484054054054054,0.8829729729729731,0.0686486486486486,2.216216216216216,0.1351351351351351,0.0019682473808197,0.0,1884445.0334302303,9,0
2021-01-11,11,0,0.0534222222222222,0.8412888888888889,0.1053111111111111,32.31111111111111,15.4,0.001863582932832,0.0,1761639.333429037,9,0
2021-01-12,12,0,0.0724473684210526,0.8193947368421053,0.108078947368421,5.078947368421052,0.1842105263157894,0.0016819035199723,0.0,1575312.090445507,9,0
2021-01-13,13,0,0.0502857142857142,0.8512571428571428,0.0984571428571428,6.057142857142857,1.1714285714285717,0.0016264163958779,0.0,340513.6704629585,9,0
2021-01-14,14,0,0.0393846153846153,0.8672051282051282,0.0934358974358974,3.743589743589744,0.717948717948718,0.0018006062573428,0.0,333923.73232033354,9,0
2021-01-15,15,0,0.0564634146341463,0.8687560975609756,0.0747560975609756,8.439024390243903,0.3658536585365853,0.0017433693825461,0.0,327439.5666896661,9,0
2021-01-16,16,0,0.046840909090909,0.8503181818181819,0.1027954545454545,6.25,0.5681818181818182,0.0016267086730905,0.0,11275.813539777087,9,0
2021-01-17,17,0,0.0568,0.87668,0.06648,3.28,0.28,0.0016284060784523,0.0,159156.64875734923,9,0
2021-01-18,18,1,0.0337179487179487,0.8673076923076923,0.0989743589743589,11.615384615384617,0.6923076923076923,0.0016121703996132,0.0,187188.3962098537,9,0
2021-01-19,19,0,0.0911578947368421,0.8238157894736842,0.0851315789473684,3.0789473684210527,0.4736842105263157,0.0016204704895833,0.0,2022.6965606423355,9,0
2021-01-20,20,0,0.0722,0.8267142857142856,0.1010571428571428,1.4857142857142858,0.3714285714285714,0.0016905054737473,0.0,1907.451523613997,9,0
2021-01-21,21,0,0.0716153846153846,0.8351794871794872,0.0931538461538461,6.256410256410256,0.8717948717948718,0.0015342409763896,0.0,8741.381722862401,9,0
2021-01-22,22,0,0.060275,0.846575,0.0931,1.425,0.125,0.0015257590182382,0.0,26411.68838009669,9,0
2021-01-23,23,0,0.0443571428571428,0.8767857142857144,0.0788809523809523,16.0,3.0476190476190474,0.0015502446349799,0.0,20699.054023365017,9,0
2021-01-24,24,0,0.046425,0.8739750000000001,0.079625,3.525,0.5,0.0015067732461511,0.0,2421.5692465585075,9,0
2021-01-25,25,0,0.0469459459459459,0.8708918918918919,0.0821351351351351,4.918918918918919,0.2432432432432432,0.0016227325534767,0.0,31.70442935541185,9,0
2021-01-26,26,0,0.0633249999999999,0.833075,0.1036,6.575,0.375,0.0015075710861926,0.0,617226.391930267,9,0
