Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
2023-09-30,8.566299e-12,8.566299e-12,8.566299e-12,8.566299e-12,0.0,0,2023-09-30T00:00:00.000Z,2023-09-30T00:00:00.000Z,2023-09-30T00:00:00.000Z,2023-09-30T23:59:59.999Z
2023-09-29,8.566299e-12,8.566299e-12,8.566299e-12,8.566299e-12,0.0,0,2023-09-29T00:00:00.000Z,2023-09-29T00:00:00.000Z,2023-09-29T00:00:00.000Z,2023-09-29T23:59:59.999Z
2023-09-28,8.566299e-12,8.566299e-12,8.566299e-12,8.566299e-12,0.0,0,2023-09-28T00:00:00.000Z,2023-09-28T00:00:00.000Z,2023-09-28T00:00:00.000Z,2023-09-28T23:59:59.999Z
2023-09-27,8.566299e-12,8.566299e-12,8.566299e-12,8.566299e-12,0.0,0,2023-09-27T00:00:00.000Z,2023-09-27T00:00:00.000Z,2023-09-27T00:00:00.000Z,2023-09-27T23:59:59.999Z
2023-09-26,8.566299e-12,8.566299e-12,8.566299e-12,8.566299e-12,0.0,0,2023-09-26T00:00:00.000Z,2023-09-26T00:00:00.000Z,2023-09-26T00:00:00.000Z,2023-09-26T23:59:59.999Z
2023-09-25,8.566299e-12,8.566299e-12,8.566299e-12,8.566299e-12,0.0,0,2023-09-25T00:00:00.000Z,2023-09-25T00:00:00.000Z,2023-09-25T00:00:00.000Z,2023-09-25T23:59:59.999Z
2023-09-24,8.56637e-12,8.56637e-12,8.566299e-12,8.566299e-12,0.0,0,2023-09-24T00:00:00.000Z,2023-09-24T00:00:00.000Z,2023-09-24T00:01:00.000Z,2023-09-24T23:59:59.999Z
2023-09-23,8.619386e-12,8.619386e-12,8.560491e-12,8.56637e-12,4.66,0,2023-09-23T00:00:00.000Z,2023-09-23T00:00:00.000Z,2023-09-23T06:18:00.000Z,2023-09-23T23:59:59.999Z
2023-09-22,8.619652e-12,8.62312e-12,8.616804e-12,8.619386e-12,0.0,0,2023-09-22T00:00:00.000Z,2023-09-22T09:27:00.000Z,2023-09-22T07:23:00.000Z,2023-09-22T23:59:59.999Z
2023-09-21,8.804725e-12,8.804725e-12,8.617286e-12,8.619409e-12,60.6,0,2023-09-21T00:00:00.000Z,2023-09-21T00:00:00.000Z,2023-09-21T15:53:00.000Z,2023-09-21T23:59:59.999Z
2023-09-20,8.804853e-12,8.804853e-12,8.804725e-12,8.804725e-12,0.0,0,2023-09-20T00:00:00.000Z,2023-09-20T00:00:00.000Z,2023-09-20T00:01:00.000Z,2023-09-20T23:59:59.999Z
2023-09-19,9.16539e-12,9.168635e-12,8.80239e-12,8.807225e-12,149.85,0,2023-09-19T00:00:00.000Z,2023-09-19T00:32:00.000Z,2023-09-19T12:05:00.000Z,2023-09-19T23:59:59.999Z
2023-09-18,9.166973e-12,9.170897e-12,9.161092e-12,9.16539e-12,2.36,0,2023-09-18T00:00:00.000Z,2023-09-18T18:41:00.000Z,2023-09-18T13:23:00.000Z,2023-09-18T23:59:59.999Z
2023-09-17,9.249763e-12,9.249763e-12,9.165401e-12,9.168427e-12,4.15,0,2023-09-17T00:00:00.000Z,2023-09-17T00:00:00.000Z,2023-09-17T09:10:00.000Z,2023-09-17T23:59:59.999Z
2023-09-16,9.250523e-12,9.255429e-12,9.246393e-12,9.249763e-12,0.0,0,2023-09-16T00:00:00.000Z,2023-09-16T00:59:00.000Z,2023-09-16T02:23:00.000Z,2023-09-16T23:59:59.999Z
2023-09-15,8.919901e-12,9.254376e-12,8.737887e-12,9.254376e-12,361.03,0,2023-09-15T00:00:00.000Z,2023-09-15T23:59:00.000Z,2023-09-15T11:02:00.000Z,2023-09-15T23:59:59.999Z
2023-09-14,8.773658e-12,8.923959e-12,8.770537e-12,8.919324e-12,171.84,0,2023-09-14T00:00:00.000Z,2023-09-14T21:09:00.000Z,2023-09-14T01:04:00.000Z,2023-09-14T23:59:59.999Z
2023-09-13,8.895807e-12,8.901835e-12,8.771403e-12,8.774021e-12,56.54,0,2023-09-13T00:00:00.000Z,2023-09-13T07:53:00.000Z,2023-09-13T19:44:00.000Z,2023-09-13T23:59:59.999Z
