Date,Text,Likes,Retweets
2017-07-13 03:51:15+00:00,I liked a @YouTube video https://t.co/pFKErzQg0G ChainCoin - CHC & HoDL /// Chill Crypto Hang-out /// YouTube Un-ban HighOnCoins,0,0
2017-07-13 21:15:32+00:00,"Damn who out of the kindness of your heart can send me some #ChainCoin #CHC 
#CWc1HZS353T1dRe1NKaYnbNzQzTScQWgZK",1,0
2017-07-13 19:14:16+00:00,@HighAltitudeInv are you in on chaincoin?,1,0
2017-07-13 22:31:42+00:00,"I liked a @YouTube video https://t.co/uCO2avsxya HOW I MADE 4,648% PROFIT ON CHAINCOIN",0,0
2017-07-13 22:08:12+00:00,"#ChainCoin aka $CHC will be going like for trading next week on Bittrex. Gentlemen, get ready for the moon landing.",5,2
2017-07-13 17:01:43+00:00,"just finished setting up my $CHC Chaincoin masternode!  HODL time
$ANS $ETH $LTC $BTC $PIVX $DASH",4,0
2017-07-12 22:32:02+00:00,#ChainCoin has been a pretty wild ride all day. It seems to bringing Cryptopia to a grinding halt right now... moon! $chc,0,0
2017-07-13 21:18:40+00:00,"Crypto update: favorite picks are #eth, #excl, #ChainCoin, #GnT. Do some research but these look solid",1,0
2017-07-12 06:07:52+00:00,@harshiloo7 what are your holdings for August 1st shit storm? Chaincoin is lit right now but I cashed out.,1,0
2017-07-13 14:11:52+00:00,🚔 GrindCoin & ChainCoin United! Strong Crypto Portfolios🚘 https://t.co/OhpPUvo0o4 via @YouTube,1,0
2017-07-13 23:55:51+00:00,Mid July pumps Chaincoin is going to $100? Neutron over 790% What alt coin to buy? https://t.co/Tssc0mbJjD,0,0
2017-07-13 22:11:55+00:00,#ChainCoin aka #CHC will be going live for trading on Bittrex next week.,1,1
2017-07-13 10:37:04+00:00,Advanced HODL Technologies!.... Severe Message To Chaincoin Masternode H...#slay#ChainCoin @Veritaseuminc  https://t.co/Y3nEhWXa3t,1,0
2017-07-13 02:56:44+00:00,I liked a @YouTube video https://t.co/pT7FjjiIPy Let's build a GREAT WALL at .00059! Go ChainCoin HODLERs!,1,0
2017-07-13 15:04:48+00:00,"@notsofast Chaincoin did it for me... Had been eye humping $score but I just hate the name lol and couldnt get past it lol, will to re think it thanks!",3,0
2017-07-13 17:29:06+00:00,"@NE0G30 @WolfOfPoloniex @cryptodawn The #ChainCoin #HODL concept is to buy and hold for stability, to prevent whales manipulating the market for personal gain.",2,0
2017-07-13 03:45:37+00:00,"I added a video to a @YouTube playlist https://t.co/RNXcKujBJw Chaincoin Review - 40,000% only in crypto ...",0,0
2017-07-13 01:02:02+00:00,Appears that $NTRN is easily going to win! Go buy on cryptopia ASAP! Don't miss out on another chaincoin! $CH https://t.co/BWWF767KOg,2,2
2017-07-13 23:14:47+00:00,#Ethereum vs #Chaincoin and why I hate #Kraken https://t.co/746p2XZsqo,4,1
2017-07-12 05:09:11+00:00,"@Chain_Coin exploding in past week up over 1000%. @zedomax's #PUMPandHODL campaign is working!

#chaincoin #chc #btc #eth #ethereum #ltc",4,0
2017-07-12 23:02:22+00:00,@Cryptopia_NZ ETA on Outage What Crashed @Cryptopia_NZ #chaincoin #chc #btc #frontlineteam #reservearmy @zedomax,0,0
2017-07-13 19:33:09+00:00,@cryptomocho there are a bunch of guys organizing and buying a crapload of chaincoin masternodes they are trying to buy all the supply in cryptopia,2,0
2017-07-12 17:02:02+00:00,"Best price performers (last 6h): ChainCoin 25.63% $CHC #Cryptopia, Numeraire 25.06% $NMR #Bittrex",0,0
2017-07-12 17:43:16+00:00,@GaryCrowder1 @BittrexExchange Do you have your $CHC in the Chaincoin Core wallet?,1,0
2017-07-12 20:58:51+00:00,@zedomax So I just forked up my ETH to get enough chaincoin to host a masternode. Is there any hardware requirements I need to be aware of?,1,0
2017-07-12 23:37:15+00:00,"I liked a @YouTube video https://t.co/8cQw492k0X CHC ChainCoin Price Prediction, Forecast 2017-2018",0,0
