Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap
2017-01-04,1,0,0,1,0,0,0,0.000112397,0.000114813,0.000112376,0.000114811,0.0,1072.0019437239544
2017-01-06,1,0,0,1,0,0,0,0.000126889,0.000131021,9.1042e-05,0.000101585,1.0,1065.9911350199902
2017-01-08,1,0,0,1,0,0,0,9.022e-05,9.0783e-05,8.2356e-05,9.0248e-05,0.0,830.1404191183291
2017-01-10,1,0,0,1,0,0,0,0.000100092,0.000100505,8.9057e-05,9.0444e-05,1.0,886.6875526872574
2017-01-12,1,0,0,1,0,0,0,9.0759e-05,9.1945e-05,7.6277e-05,7.8044e-05,0.0,804.5587557648337
2017-01-14,1,0,0,1,0,0,0,8.0533e-05,8.29e-05,7.8e-05,8.2318e-05,0.0,762.5739148286281
2017-01-16,1,0,0,1,0,0,0,8.1872e-05,9.8738e-05,8.1287e-05,8.2208e-05,0.0,786.1644204221075
2017-01-18,1,0,0,1,0,0,0,9.1446e-05,0.000100162,9.1388e-05,9.9918e-05,6.0,914.159916438805
2017-01-20,1,0,0,1,0,0,0,9.7127e-05,9.9508e-05,9.7127e-05,9.8907e-05,0.0,934.3134263777388
2017-01-22,1,0,0,1,0,0,0,8.9504e-05,0.000110327,8.9503e-05,9.2199e-05,0.0,893.6646264573436
2017-01-24,1,0,0,1,0,0,0,9.2361e-05,0.000148523,9.1674e-05,0.000147399,2.414342629482072,1099.470732765284
2017-01-26,1,0,0,1,0,0,0,8.9229e-05,9.0325e-05,8.9169e-05,9.0099e-05,0.0,851.5098426559829
2017-01-28,1,0,0,1,0,0,0,8.258e-05,0.0001381,8.2426e-05,0.000137986,2.0,829.5079262273816
2017-01-30,1,0,0,1,0,0,0,7.3727e-05,0.000129245,5.5353e-05,0.000128742,0.0,782.4690243971849
2017-02-01,1,0,0,1,0,0,0,7.3658e-05,7.7762e-05,7.3631e-05,7.7659e-05,0.0,712.9961394201426
2017-02-03,1,0,0,1,0,0,0,7.9129e-05,8.1082e-05,7.8658e-05,8.0934e-05,0.0,754.6514010259792
2017-02-05,1,0,0,1,0,0,0,8.2393e-05,8.3672e-05,8.1213e-05,8.3405e-05,0.0,781.2866121406944
2017-02-07,1,0,0,1,0,0,0,8.2187e-05,8.3571e-05,8.2187e-05,8.302e-05,0.0,786.3795410440903
2017-02-09,1,0,0,1,0,0,0,0.00018043,0.000183425,0.000104338,0.000106299,13.5,1305.799385368731
2017-02-11,1,0,0,1,0,0,0,9.9438e-05,9.9891e-05,9.4669e-05,9.8984e-05,1.0,922.988677178684
2017-02-13,1,0,0,1,0,0,0,0.000180389,0.000361037,0.00011975,0.000119891,29.59507042253521,3718.728787036449
2017-02-15,1,0,0,1,0,0,0,0.000118877,0.000121381,0.000118377,0.00012055,2.663716814159292,1137.5939672416685
2017-02-17,1,0,0,1,0,0,0,0.000151122,0.000152707,0.000131875,0.000133583,1.7762557077625571,1307.63986322254
2017-02-19,1,0,0,1,0,0,0,0.000136007,0.000137943,0.000136007,0.000137041,0.0,1303.4888002660912
2017-02-21,1,0,0,1,0,0,0,0.000136223,0.000140464,0.00013542,0.000140464,0.0,1297.9578208919052
2017-02-23,1,0,0,1,0,0,0,0.000144989,0.000468804,0.000143072,0.000156478,3.4539007092198584,1826.3687768546577
2017-02-25,1,0,0,1,0,0,0,0.000151674,0.000156051,0.000139999,0.000140862,2.0,1442.5927178956815
2017-02-27,1,0,0,1,0,0,0,0.000274522,0.000274759,0.000139136,0.000139868,1.0,1409.1165699420803
2017-03-01,1,0,0,1,0,0,0,0.000235994,0.00023759,0.000140618,0.000141569,1.0,1406.8029962034675
