,Date,compound,negative,neutral,positive,likes,retweets
81,2017-06-03,0.0,0.0,1.0,0.0,0.0,0.0
82,2017-06-04,0.06328,0.0,0.97,0.03,0.2,0.0
83,2017-06-07,0.4404,0.0,0.775,0.225,0.0,0.0
84,2017-06-10,0.296,0.0,0.868,0.132,0.0,0.0
85,2017-06-16,0.0,0.0,1.0,0.0,0.0,0.0
86,2017-06-18,0.4927,0.0,0.878,0.122,14.0,4.0
87,2017-06-28,0.4215,0.0,0.811,0.189,0.0,0.0
88,2017-07-07,0.31845,0.0,0.878,0.122,2.0,1.0
89,2017-07-08,0.08007142857142857,0.05692857142857143,0.8539285714285715,0.08921428571428572,2.642857142857143,1.3571428571428572
90,2017-07-09,0.17512666666666668,0.03746666666666667,0.8474,0.11510000000000001,1.4666666666666666,0.4
91,2017-07-10,0.039728571428571426,0.018214285714285714,0.9351428571428572,0.046642857142857146,1.3571428571428572,0.42857142857142855
92,2017-07-11,0.11402352941176472,0.0478235294117647,0.8327058823529412,0.11947058823529412,3.1176470588235294,0.9411764705882353
93,2017-07-12,0.19375652173913044,0.009695652173913043,0.9082173913043478,0.08208695652173914,2.0434782608695654,0.4782608695652174
94,2017-07-13,0.14120714285714286,0.046017857142857145,0.8537321428571428,0.10028571428571428,2.482142857142857,0.625
95,2017-07-14,0.15121951219512195,0.03902439024390244,0.8736829268292683,0.08724390243902438,1.975609756097561,0.6829268292682927
96,2017-07-15,0.1946842105263158,0.03684210526315789,0.8165789473684211,0.14660526315789474,2.8421052631578947,0.631578947368421
97,2017-07-16,0.08789130434782609,0.020804347826086957,0.9090869565217391,0.07013043478260869,2.739130434782609,0.7608695652173914
98,2017-07-17,0.1067421052631579,0.024710526315789474,0.9022631578947369,0.07302631578947368,3.3421052631578947,0.39473684210526316
99,2017-07-18,0.1671,0.04996551724137931,0.8366896551724138,0.1133103448275862,1.3793103448275863,0.3103448275862069
100,2017-07-19,0.20752439024390243,0.04002439024390244,0.8119756097560975,0.148,1.146341463414634,0.34146341463414637
101,2017-07-20,-0.025677419354838707,0.10719354838709677,0.8093870967741936,0.08341935483870967,0.5483870967741935,0.16129032258064516
102,2017-07-21,0.004534146341463412,0.08060975609756098,0.8421219512195122,0.07721951219512195,2.5121951219512195,0.6585365853658537
103,2017-07-22,0.16712916666666666,0.034999999999999996,0.8349166666666666,0.13008333333333333,0.375,0.08333333333333333
104,2017-07-23,0.22296315789473684,0.032947368421052635,0.838078947368421,0.12897368421052632,2.1052631578947367,0.7631578947368421
105,2017-07-24,0.04587586206896552,0.025551724137931033,0.9254827586206896,0.048965517241379306,2.793103448275862,0.7586206896551724
106,2017-07-25,0.062725,0.06078571428571428,0.85525,0.08399999999999999,1.8928571428571428,0.5
107,2017-07-26,0.056514285714285704,0.03457142857142857,0.856,0.10942857142857143,0.8571428571428571,0.5714285714285714
108,2017-07-27,0.041199999999999994,0.02975,0.89475,0.0755,0.25,0.0
109,2017-07-28,0.3355923076923077,0.046307692307692314,0.7667692307692308,0.18692307692307694,5.769230769230769,0.5384615384615384
110,2017-07-29,-0.47981621621621623,0.24910810810810813,0.7304054054054053,0.020486486486486488,0.5675675675675675,0.13513513513513514
111,2017-07-30,-0.2320548387096774,0.1749032258064516,0.7520967741935485,0.07296774193548387,2.3870967741935485,0.5161290322580645
112,2017-07-31,0.0886909090909091,0.03309090909090909,0.8711818181818182,0.09572727272727272,1.5454545454545454,0.18181818181818182
113,2017-08-03,0.27235454545454546,0.010272727272727274,0.8545454545454546,0.13527272727272727,0.36363636363636365,0.09090909090909091
114,2017-08-04,-0.10310555555555556,0.1186111111111111,0.8253333333333334,0.05605555555555555,2.4444444444444446,0.2222222222222222
115,2017-08-05,0.3153,0.01,0.842,0.148,0.0,0.0
116,2017-08-06,-0.016261111111111108,0.08744444444444444,0.8224444444444444,0.09011111111111111,2.2222222222222223,0.2777777777777778
117,2017-08-07,0.1119375,0.061,0.821,0.118,2.5,0.25
118,2017-08-08,0.08906666666666668,0.0,0.9544444444444444,0.04555555555555556,0.1111111111111111,0.0
119,2017-08-09,0.042756249999999996,0.056125,0.8878125,0.0560625,1.0,0.3125
120,2017-08-10,0.0,0.0,1.0,0.0,0.75,0.25
121,2017-08-11,0.0,0.0,1.0,0.0,0.0,0.0
122,2017-08-12,0.0792,0.022285714285714287,0.8925714285714286,0.08514285714285716,0.8571428571428571,0.0
123,2017-08-13,0.136825,0.0,0.93475,0.06525,1.25,0.0
124,2017-08-14,-0.03461666666666668,0.05533333333333334,0.9026666666666667,0.042,1.0,0.16666666666666666
125,2017-08-15,0.20413333333333336,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.3333333333333333
126,2017-08-16,0.11754545454545456,0.03763636363636364,0.8937272727272727,0.06863636363636363,4.2727272727272725,0.5454545454545454
127,2017-08-17,0.0843,0.0,0.9621999999999999,0.0378,0.0,0.0
128,2017-08-18,0.04638888888888889,0.0898888888888889,0.782,0.128,1.6666666666666667,0.6666666666666666
129,2017-08-19,0.0,0.0,1.0,0.0,0.2,0.0
130,2017-08-20,0.027050000000000008,0.0417,0.8657999999999999,0.0925,3.2,0.4
131,2017-08-21,0.0,0.0,1.0,0.0,0.2,0.0
132,2017-08-22,-0.136325,0.13725,0.71125,0.15175,4.75,1.5
133,2017-08-23,-0.08005714285714285,0.10285714285714286,0.83,0.06728571428571428,2.142857142857143,0.14285714285714285
134,2017-08-24,0.1896142857142857,0.039,0.7539999999999999,0.20685714285714285,1.0,0.14285714285714285
135,2017-08-25,0.0,0.0,1.0,0.0,1.0,1.25
136,2017-08-26,0.16465000000000002,0.1275,0.675,0.1975,0.0,0.0
137,2017-08-27,0.2758,0.0,0.9245,0.0755,0.0,0.5
138,2017-08-29,0.18686,0.0708,0.7914,0.1378,7.0,0.6
139,2017-08-30,0.2563,0.0,0.9005,0.0995,0.25,0.0
140,2017-08-31,0.0,0.0,1.0,0.0,6.5,0.75
141,2017-09-01,-0.4526,0.37,0.45,0.18,1.0,0.0
142,2017-09-02,0.33903333333333335,0.0,0.8530000000000001,0.147,7.333333333333333,1.0
143,2017-09-03,-0.0020666666666666667,0.06766666666666667,0.8873333333333333,0.04533333333333334,1.0,0.0
