Date,Price,market_cap,Volume
2021-01-01,0.0019578590359866,0.0,1703083.8400206529
2021-01-02,0.001903109261233,0.0,1590030.1529726742
2021-01-03,0.0019346287095643,0.0,1875854.796156993
2021-01-04,0.0020438096813855,0.0,2139787.034044693
2021-01-05,0.0018208199605228,0.0,2169885.4711759994
2021-01-06,0.0018952877902727,0.0,2221490.024478273
2021-01-07,0.0019948347046889,0.0,2041109.7200581024
2021-01-08,0.0019737326672775,0.0,2399707.3959281505
2021-01-09,0.0018895646707733,0.0,2260756.611303712
2021-01-10,0.0019682473808197,0.0,1884445.0334302303
2021-01-11,0.001863582932832,0.0,1761639.333429037
2021-01-12,0.0016819035199723,0.0,1575312.090445507
2021-01-13,0.0016264163958779,0.0,340513.6704629585
2021-01-14,0.0018006062573428,0.0,333923.73232033354
2021-01-15,0.0017433693825461,0.0,327439.5666896661
2021-01-16,0.0016267086730905,0.0,11275.813539777087
2021-01-17,0.0016284060784523,0.0,159156.64875734923
2021-01-18,0.0016121703996132,0.0,187188.3962098537
2021-01-19,0.0016204704895833,0.0,2022.6965606423355
2021-01-20,0.0016905054737473,0.0,1907.451523613997
2021-01-21,0.0015342409763896,0.0,8741.381722862401
2021-01-22,0.0015257590182382,0.0,26411.68838009669
2021-01-23,0.0015502446349799,0.0,20699.054023365017
2021-01-24,0.0015067732461511,0.0,2421.5692465585075
2021-01-25,0.0016227325534767,0.0,31.70442935541185
2021-01-26,0.0015075710861926,0.0,617226.391930267
2021-01-27,0.0014993113189385,0.0,2138905.2549190302
2021-01-28,0.0013787686136336,0.0,2218495.4432063666
2021-01-29,0.0016464906816413,0.0,2224296.596005591
2021-01-30,0.0015157596695987,0.0,1977743.080005961
2021-01-31,0.0015218346879035,0.0,1230016.1510045675
2021-02-01,0.0014961906754416,0.0,1783383.6668415023
2021-02-02,0.001585226891167,0.0,2270171.532678573
2021-02-03,0.0015447997887348,0.0,2378495.37388209
2021-02-04,0.0015446051253225,0.0,2320928.180616463
2021-02-05,0.0015267603581747,0.0,1932730.1172305131
2021-02-06,0.0015521947294608,0.0,39063.56268551487
2021-02-07,0.0015393961849583,0.0,2602815.209869148
2021-02-08,0.0015013376467647,0.0,2280431.3791432157
2021-02-09,0.0016069535398954,0.0,2786041.2337490423
2021-02-10,0.0016708048421715,0.0,3117943.8191343825
2021-02-11,0.0017373253684124,0.0,2618934.5411584675
2021-02-12,0.0017766434684472,0.0,2765354.2250434924
2021-02-13,0.001919794492955,0.0,2982123.257252776
2021-02-14,0.0021488843989599,0.0,2849698.728794659
2021-02-15,0.0021947620292054,0.0,3294856.926533543
2021-02-16,0.0021115794711262,0.0,1454235.3921781308
2021-02-17,0.0021541874664328,0.0,1142776.339946342
2021-02-18,0.0022547236550351,0.0,2040252.704174464
2021-02-19,0.0022335067957478,0.0,2135422.535503324
2021-02-20,0.0027357427871646,0.0,3946760.104603632
2021-02-21,0.0066322308259835,0.0,5397171.787895885
2021-02-22,0.0060078768962484,0.0,4540472.226862293
2021-02-23,0.0050758746289857,0.0,3469679.162364529
2021-02-24,0.0045662769272485,0.0,2345443.424628136
2021-02-25,0.0043680220150571,0.0,252234.8002663396
2021-02-26,0.0046053511160178,0.0,2680414.0599386147
2021-02-27,0.0040979739300297,0.0,2641460.512767644
2021-02-28,0.0038124954574633,0.0,2189930.294336456
2021-03-01,0.0035755633991583,0.0,1976018.429696603
2021-03-02,0.0041900694333835,0.0,2800875.490406748
2021-03-03,0.0041670494801047,0.0,1739368.2551269596
2021-03-04,0.0043231200728991,0.0,1981828.8081334897
2021-03-05,0.0040233642019185,0.0,2827116.1014904124
2021-03-06,0.0039945795894956,0.0,2496228.3714337363
2021-03-07,0.0040303188100852,0.0,2124920.2718371777
2021-03-08,0.0038242250268695,0.0,2081693.252113517
2021-03-09,0.003817504400692,0.0,3117234.4341374342
2021-03-10,0.004229018623414,0.0,3412568.011173804
2021-03-11,0.0040235994105739,0.0,3982270.757568628
2021-03-12,0.0044756761191218,0.0,3732984.309267104
2021-03-13,0.0040201483091833,0.0,4443173.536722233
2021-03-14,0.0043181437890486,0.0,1819458.9676876653
2021-03-15,0.0043197601642921,0.0,5055615.865749901
2021-03-16,0.0041775562381589,0.0,5000320.561537311
2021-03-17,0.0041418052376368,0.0,5347159.185655529
2021-03-18,0.0045314110005815,0.0,5979846.929940989
2021-03-19,0.0042999486214925,0.0,2534581.832383155
2021-03-20,0.0043109640364209,0.0,59182.28301644308
2021-03-21,0.0041442340140656,0.0,69793.17845530591
2021-03-22,0.0040175662696793,0.0,59114.16573137918
2021-03-23,0.0039490815347936,0.0,60982.9403216025
2021-03-24,0.0039643612926374,0.0,27541.106997450144
2021-03-25,0.0036111200091298,0.0,81457.78189005025
2021-03-26,0.0034333190996384,0.0,36296.45778522463
2021-03-27,0.0036722332965246,0.0,30874.87623989853
2021-03-28,0.0038148607685875,0.0,49138.35533009944
2021-03-29,0.0040233538660222,0.0,56228.54571000704
2021-03-30,0.0042100147303816,0.0,89359.84096792799
2021-03-31,0.0049141316470402,0.0,170024.0080797175
2021-04-01,0.0045486171637681,0.0,106599.00433830197
2021-04-02,0.0054661434283948,0.0,691526.4791750374
2021-04-03,0.005180484704315,0.0,299797.76134376635
2021-04-04,0.004863623676185,0.0,160592.88811519233
2021-04-05,0.0050281718426396,0.0,65716.30554825474
2021-04-06,0.0051803789752199,0.0,127978.60611221798
2021-04-07,0.0049250957210394,0.0,149847.17363063036
2021-04-08,0.0046101703658691,0.0,177778.50172874358
