Date,Open,High,Low,Close,Volume,market_cap,Time Open,Time High,Time Low,Time Close
2021-12-30,0.8179193235980395,0.8563138716526091,0.8045000709625929,0.8396488730617828,1880399926.4,39913518999.66,2021-12-30T00:00:00.000Z,2021-12-30T18:17:03.000Z,2021-12-30T00:19:14.000Z,2021-12-30T23:59:59.999Z
2021-12-29,0.8530769342496966,0.8650494169519017,0.8137101102859975,0.8167142355821615,2050248751.32,38823298887.23,2021-12-29T00:00:00.000Z,2021-12-29T01:24:03.000Z,2021-12-29T23:46:03.000Z,2021-12-29T23:59:59.999Z
2021-12-28,0.9267564415973074,0.9267564415973074,0.8486641673154253,0.8529604162070252,2281985956.49,40546296041.7,2021-12-28T00:00:00.000Z,2021-12-28T00:00:03.000Z,2021-12-28T19:20:03.000Z,2021-12-28T23:59:59.999Z
2021-12-27,0.9208038924155446,0.9558846183745233,0.9145084525778264,0.92618449717409,1788981448.58,44027073353.12,2021-12-27T00:00:00.000Z,2021-12-27T17:01:03.000Z,2021-12-27T09:43:03.000Z,2021-12-27T23:59:59.999Z
2021-12-26,0.9256862635729477,0.9340420076337981,0.9072808936976088,0.9211802100004101,1324703098.02,43789189735.82,2021-12-26T00:00:00.000Z,2021-12-26T02:09:03.000Z,2021-12-26T04:01:03.000Z,2021-12-26T23:59:59.999Z
2021-12-25,0.9123938015946365,0.9339138258800924,0.9023149577101551,0.9248186820696246,1747049348.42,43962148014.83,2021-12-25T00:00:00.000Z,2021-12-25T12:34:03.000Z,2021-12-25T00:04:03.000Z,2021-12-25T23:59:59.999Z
2021-12-24,0.9947904859747819,0.9967253604775587,0.8990513737742093,0.9120466336315561,3864725087.11,43355016374.03,2021-12-24T00:00:00.000Z,2021-12-24T00:04:03.000Z,2021-12-24T23:14:03.000Z,2021-12-24T23:59:59.999Z
2021-12-23,0.9548241623442559,1.0165589642967523,0.9408233872570639,0.9932854500242769,4257231145.21,47216781863.91,2021-12-23T00:00:00.000Z,2021-12-23T19:49:03.000Z,2021-12-23T00:33:03.000Z,2021-12-23T23:59:59.999Z
2021-12-22,0.9481009283716499,0.9728088283870546,0.9271779936832378,0.9546987027481485,3317199426.62,45106931979.03,2021-12-22T00:00:00.000Z,2021-12-22T05:16:03.000Z,2021-12-22T13:01:03.000Z,2021-12-22T23:59:59.999Z
2021-12-21,0.8794333955350743,0.9608588215924576,0.8543700777582817,0.9476464341646752,3748952692.05,44773731359.42,2021-12-21T00:00:00.000Z,2021-12-21T22:57:03.000Z,2021-12-21T01:24:03.000Z,2021-12-21T23:59:59.999Z
