Date,Open,High,Low,Close,Volume,Market Cap
2017-11-07,0.117840274,0.136182733,0.115025922,0.121182815,8557.974549560418,1975738.5209782163
2017-11-06,0.138765617,0.14611742,0.116407198,0.118233355,6039.377183607833,2132847.945331865
2017-11-05,0.133395134,0.139999366,0.121767772,0.138685272,4684.33252620296,2163535.3978302465
2017-11-04,0.125913266,0.154518928,0.121882823,0.133267956,9586.550497676684,2054260.6635995333
2017-11-03,0.136918851,0.14848929,0.121511974,0.125875329,11649.624700646964,2246285.595809792
2017-11-02,0.150705904,0.153709673,0.128850083,0.136822911,7856.891125716687,2212952.556129505
2017-11-01,0.141438573,0.153793144,0.134098281,0.15091324,7239.693873529577,2294545.398842028
2017-10-31,0.147038646,0.159195444,0.139848735,0.141597125,7804.693612606876,2543944.1517024324
2017-10-30,0.157135618,0.165934768,0.147193028,0.147579619,8067.472187052301,2458609.8288440523
2017-10-29,0.140567803,0.168528013,0.137117599,0.156849698,4386.333345083603,2380242.131788507
2017-10-28,0.155030734,0.155030734,0.13560505,0.14033696,6720.639379632915,2222617.2189615904
2017-10-27,0.138949645,0.155548986,0.134094385,0.155016619,7146.215574110897,2310089.160992233
2017-10-26,0.138715787,0.147182154,0.1260805,0.133800316,6625.938254567806,2198012.0745252823
2017-10-25,0.143620645,0.148883045,0.129745184,0.138725911,9947.23868006632,2240955.371506816
2017-10-24,0.155550025,0.185560057,0.12360824,0.144059366,11447.663802078025,2442470.127752575
2017-10-23,0.168991389,0.191273973,0.154119348,0.155708367,8566.156243699737,2758567.94117433
2017-10-22,0.173937143,0.197781232,0.159728192,0.16899248,11955.526132593446,2901016.0445880843
2017-10-21,0.182267387,0.190127302,0.169239293,0.174267382,8286.75987435787,2849286.2897610134
2017-10-20,0.181141511,0.191471388,0.176536572,0.182234658,6205.260826765078,2833421.0892968746
2017-10-19,0.1792665,0.185752974,0.157875962,0.179320947,11134.064125395442,2749373.9604687146
2017-10-18,0.143507613,0.209045288,0.140322006,0.179254704,8690.677434957524,3944126.0017846473
2017-10-17,0.193217399,0.206396699,0.140899812,0.143273099,7709.507392931422,2906443.734362572
2017-10-16,0.209899913,0.221557293,0.1773041,0.192804302,10882.06488803929,3126253.352068444
2017-10-15,0.200139974,0.219684919,0.135557037,0.209349126,12583.783177311348,2865118.7163073067
2017-10-14,0.210313753,0.225623264,0.188036064,0.200174172,11094.921689378723,3181670.7740850104
2017-10-13,0.193240393,0.225956111,0.192955266,0.209802538,9403.690883487923,3234135.3566795136
2017-10-12,0.190937863,0.200987673,0.171853527,0.198765392,5791.306566695107,3052660.7575056907
