,Date,compound,negative,neutral,positive,likes,retweets
0,2017-11-01,0.0,0.0,1.0,0.0,7.2,2.0
1,2017-11-02,0.5619,0.0,0.7638,0.23620000000000002,4.8,1.4
2,2017-11-03,0.12248,0.0,0.9616,0.038400000000000004,9.8,3.2
3,2017-11-04,0.4716,0.045,0.837,0.117,6.0,2.0
4,2017-11-06,0.0385125,0.02825,0.925625,0.046125,0.375,0.0
5,2017-11-07,0.0,0.0,1.0,0.0,9.8,4.0
6,2017-11-10,0.07645,0.07816666666666666,0.7995,0.12233333333333334,2.3333333333333335,0.6666666666666666
7,2017-11-11,0.0,0.0,1.0,0.0,12.666666666666666,4.333333333333333
8,2017-11-12,0.0,0.0,1.0,0.0,0.0,0.0
9,2017-11-13,0.0,0.0,1.0,0.0,0.0,0.0
10,2017-11-14,0.3722777777777778,0.0,0.8943333333333333,0.10566666666666667,4.111111111111111,1.5555555555555556
11,2017-11-15,0.17864,0.0,0.8914,0.1086,5.6,2.0
12,2017-11-16,-0.35760000000000003,0.106,0.8827499999999999,0.011375,4.875,1.125
13,2017-11-17,-0.1635,0.0925,0.8585,0.049,1.0,0.0
14,2017-11-18,0.61792,0.0,0.805,0.195,2.0,0.4
15,2017-11-19,0.3266,0.0,0.8335,0.16649999999999998,11.25,2.75
16,2017-11-20,0.0,0.0,1.0,0.0,73.28571428571429,22.0
17,2017-11-21,0.0,0.0,1.0,0.0,0.0,0.0
18,2017-11-22,0.29813333333333336,0.018666666666666665,0.8483333333333333,0.133,7.666666666666667,2.8333333333333335
19,2017-11-23,0.5924333333333334,0.027333333333333334,0.749,0.2233333333333333,10.0,4.666666666666667
20,2017-11-24,-0.3169,0.1456,0.7998000000000001,0.0546,1.4,0.4
21,2017-11-25,-0.2893333333333334,0.11633333333333333,0.8563333333333333,0.027333333333333334,0.0,0.0
22,2017-11-26,-0.33525,0.083,0.889,0.028,0.5,0.5
23,2017-11-27,0.2294,0.0,0.8335,0.1665,18.0,3.5
24,2017-11-28,0.0,0.0,1.0,0.0,27.0,9.0
25,2017-11-29,0.0,0.0,1.0,0.0,9.0,3.5
26,2017-11-30,0.23458333333333334,0.0,0.9035000000000001,0.09649999999999999,10.833333333333334,3.5
27,2017-12-01,-0.14577142857142858,0.09171428571428572,0.818,0.09028571428571429,5.571428571428571,2.2857142857142856
28,2017-12-02,-0.2448,0.0852,0.8882,0.026600000000000002,1.0,0.0
29,2017-12-03,0.648,0.0,0.8685,0.1315,1.0,0.0
30,2017-12-06,0.10350909090909091,0.03218181818181818,0.9081818181818182,0.059636363636363626,0.5454545454545454,0.0
31,2017-12-07,0.228771875,0.00753125,0.90071875,0.09178125000000001,6.21875,2.3125
32,2017-12-08,-0.006660000000000007,0.0356,0.9144,0.05,11.4,3.0
33,2017-12-09,0.16544285714285714,0.0,0.9591428571428572,0.040857142857142856,0.7142857142857143,0.2857142857142857
34,2017-12-10,0.2193,0.0,0.9456,0.054400000000000004,0.4,0.2
35,2017-12-11,0.19634545454545452,0.0,0.911,0.089,16.727272727272727,7.181818181818182
36,2017-12-12,0.06855750000000001,0.0118,0.9367750000000001,0.051425,4.55,1.275
37,2017-12-13,0.25193529411764704,0.0195,0.8543235294117647,0.1261764705882353,7.147058823529412,2.9411764705882355
38,2017-12-14,0.15875833333333333,0.008895833333333334,0.9311666666666666,0.059895833333333336,9.4375,3.0625
39,2017-12-15,0.13174761904761906,0.005714285714285714,0.9423571428571429,0.05192857142857143,10.023809523809524,2.9047619047619047
40,2017-12-16,0.1297891304347826,0.02689130434782609,0.8975869565217391,0.07552173913043478,8.195652173913043,4.065217391304348
41,2017-12-17,0.2031047619047619,0.017857142857142856,0.909142857142857,0.07300000000000001,13.833333333333334,2.761904761904762
42,2017-12-18,0.3305795454545455,0.020613636363636365,0.8336136363636364,0.14575000000000002,5.295454545454546,0.9318181818181818
43,2017-12-19,0.22041707317073173,0.010317073170731708,0.9117804878048781,0.0779268292682927,58.63414634146341,17.365853658536587
44,2017-12-20,0.21171666666666666,0.009604166666666665,0.9191250000000001,0.07125,10.875,3.7083333333333335
45,2017-12-21,0.30304130434782606,0.003021739130434783,0.8934130434782609,0.10354347826086956,17.82608695652174,6.673913043478261
46,2017-12-22,0.25320652173913044,0.01641304347826087,0.8897608695652174,0.09384782608695652,17.217391304347824,5.086956521739131
47,2017-12-23,0.3066521739130435,0.00658695652173913,0.875891304347826,0.11750000000000001,23.76086956521739,11.630434782608695
48,2017-12-24,0.3055489361702127,0.013063829787234043,0.873595744680851,0.1133404255319149,77.42553191489361,28.0
49,2017-12-25,0.24869459459459461,0.020486486486486488,0.8738108108108109,0.1057027027027027,43.32432432432432,9.837837837837839
50,2017-12-26,0.2994857142857143,0.01942857142857143,0.8637142857142858,0.11683928571428571,88.33928571428571,27.053571428571427
51,2017-12-27,0.14667179487179488,0.026871794871794873,0.8847435897435898,0.08838461538461538,78.02564102564102,22.743589743589745
52,2017-12-28,0.2374236363636364,0.02269090909090909,0.8902545454545454,0.08707272727272727,69.21818181818182,23.145454545454545
53,2017-12-29,0.26065714285714287,0.00510204081632653,0.908469387755102,0.08640816326530612,122.61224489795919,27.693877551020407
54,2017-12-30,0.1358189189189189,0.037351351351351356,0.8620540540540541,0.10056756756756757,64.67567567567568,19.756756756756758
55,2017-12-31,0.3543266666666666,0.0073,0.8717333333333334,0.12096666666666667,219.46666666666667,58.43333333333333
56,2018-01-01,0.27801269841269843,0.03,0.8307301587301587,0.1392698412698413,78.22222222222223,26.0
