Date,Price,market_cap,Volume
2018-07-11,0.02450485652028518,0.0,210180687.2078105
2018-07-12,0.016611773957568306,0.0,34388599.75256102
2018-07-13,0.014294192037623258,0.0,110168277.51374823
2018-07-14,0.016703630177799383,0.0,109162765.9029064
2018-07-15,0.01840986969356813,0.0,122960509.15372537
2018-07-16,0.017621248533288735,0.0,124972874.76395068
2018-07-17,0.01635327335615889,0.0,67978185.04762115
2018-07-18,0.013951697966651563,0.0,22331329.667104654
2018-07-19,0.012302303581070604,0.0,72633033.60548025
2018-07-20,0.01126633096145014,0.0,75764403.03499253
2018-07-21,0.01035468149492173,0.0,123973667.80462854
2018-07-22,0.0115682381690741,0.0,78771871.31871574
2018-07-23,0.010788165429915259,0.0,53915130.734598145
2018-07-24,0.009822010310374078,0.0,78011665.51158783
2018-07-25,0.009845351314084835,0.0,85506407.63619927
2018-07-26,0.00793073101215908,0.0,73930561.36613792
2018-07-27,0.00769722978245209,0.0,28127543.061451346
2018-07-28,0.006819526900067514,0.0,50024117.22901491
2018-07-29,0.006823491214889724,0.0,65262106.32437311
2018-07-30,0.006751214331496276,0.0,74127301.2169704
2018-07-31,0.00679690877854433,0.0,49748469.21646545
2018-08-01,0.006597962448006173,0.0,27145971.373552628
2018-08-02,0.00617328290348773,0.0,73742747.27969818
2018-08-03,0.006057975199770953,0.0,42695412.767400436
2018-08-04,0.006085980096888092,0.0,43821897.05109783
2018-08-05,0.005950588388145269,0.0,60881824.159444466
2018-08-06,0.006073528379230065,0.0,68968144.90822612
2018-08-07,0.006133612273904802,0.0,26435779.663131654
2018-08-08,0.006475508895392585,0.0,31066909.157531954
2018-08-09,0.006101882938509444,0.0,67042643.03201302
2018-08-10,0.006466111774647024,0.0,80968297.36602777
2018-08-11,0.006105496806600797,0.0,59482371.1671105
2018-08-12,0.005584185859561541,0.0,39898036.31480951
2018-08-13,0.004956572240218738,0.0,42373695.190787524
2018-08-14,0.004586824687756434,0.0,21761842.861348677
2018-08-15,0.004080707076561438,0.0,21315642.095779873
2018-08-16,0.004000031113320212,297668.47318355774,31074150.145545535
2018-08-17,0.0040399075176568,300753.717411025,20408226.762988962
2018-08-18,0.0035554896976296856,264690.89678541775,17693606.219294347
2018-08-19,0.002755910463805329,205165.6660997376,12915565.027322512
2018-08-20,0.0023925197361428004,178112.79131497192,15424344.914607346
2018-08-21,0.0018506725952297904,137774.60506048962,7449268.292206267
2018-08-22,0.0020617163622018734,153485.904682045,10926916.94806644
2018-08-23,0.001973559028986805,146922.9708610123,15235878.30882259
2018-08-24,0.0021110931176355,157161.7914902093,6034587.334371569
2018-08-25,0.0020920015536909126,155740.50676959884,6416490.673195667
2018-08-26,0.002025958415161923,150823.87951135763,7451213.457721806
2018-08-27,0.0019510868879263933,145250.016732096,13212624.793679869
2018-08-28,0.0021251653038356585,158209.40515297264,11558356.685552724
2018-08-29,0.002076996422134473,154623.4393426548,10928026.632358713
2018-08-30,0.0020622048037245385,153522.26705000456,8377908.147722639
2018-08-31,0.001999056589571488,148821.1544449781,13050179.072111113
2018-09-01,0.0019392022256860236,144475.54886429256,7743933.954984575
2018-09-02,0.0019354186968611085,144083.5873800885,3678170.174064894
2018-09-03,0.0019362378309397744,144144.56838476253,7046416.836223544
2018-09-04,0.002359497699870915,175654.44291916222,4710751.26229961
2018-09-05,0.002086197857736195,155308.4465985489,7839633.547503835
2018-09-06,0.0018877730395163786,140536.57336991865,5666880.509055345
2018-09-07,0.0018818109840836343,140201.19940445977,9400941.301137932
2018-09-08,0.0019299763097237594,143678.4250945674,8292916.2978186635
2018-09-09,0.0018158560168870573,135182.66073544163,6653430.500276222
2018-09-10,0.0018359983309970559,136817.59423173196,3226902.2731591677
2018-09-11,0.0017875580346583347,133075.99781968867,2516028.2064985693
2018-09-12,0.0016794213113304002,125025.6844431123,1833214.2425977273
2018-09-13,0.001405476958989673,104685.3942000829,1369640.3309526078
2018-09-14,0.0015673597668677663,116683.18503473322,836616.7962090091
2018-09-15,0.0013500411012520625,100472.28346064968,1425064.445940599
2018-09-16,0.0013430327621927849,99983.00556854266,2772381.9884614116
2018-09-17,0.0014120965618269177,105124.5080380208,1562298.8358343812
2018-09-18,0.0013666164391675398,101738.70875961283,467119.342888702
2018-09-19,0.0014739713402201129,109730.81883459326,2342607.288485773
2018-09-20,0.0012462833757604654,92780.43038592237,2382328.4773913473
2018-09-21,0.00134764222368234,100326.16012645955,765032.6486112437
2018-09-22,0.0014725124079062071,109622.20760650435,807068.6523555537
2018-09-23,0.0014548246505624897,108305.43024203822,591392.8101423787
2018-09-24,0.0015505385799701164,115430.92010821625,1569245.7817530907
2018-09-25,0.0015012850079366856,111764.2037737251,396742.4224295281
2018-09-26,0.0014903879305825853,110952.9632914028,323312.5932225417
2018-09-27,0.0015789039770929079,117542.60177252023,1959326.0450139605
2018-09-28,0.0017105002245822096,127339.37569785619,1427819.0572826082
2018-09-29,0.0016561486774597733,123293.13707168224,976486.1535805415
2018-09-30,0.001726369911114616,128428.56372539686,1152177.400915992
2018-10-01,0.0015742457085009287,117195.81373600861,4931759.288857688
2018-10-02,0.001440074466354099,107093.80590719036,2954169.5036264467
2018-10-03,0.001468008934733164,109286.9434223284,3336030.54656643
2018-10-04,0.0014297671033066137,106454.4175764304,2627389.2942325324
2018-10-05,0.0014863805194958153,110654.6287933301,4283596.4861434875
2018-10-06,0.0015896427148621717,118342.05455461798,4493695.546677362
2018-10-07,0.001524682580266825,113506.05227543638,9284677.504728572
2018-10-08,0.001529206471332967,113842.83648382685,12973795.892634531
