Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
2021-01-01,0,0,0.0512112676056338,0.8657605633802817,0.0829999999999999,38.056338028169016,3.197183098591549,0.21984463,0.24926978,0.21728764,0.23744438,5888429287.11,10780931627.255676,2021-01-01T00:00:00.000Z,2021-01-01T17:16:03.000Z,2021-01-01T00:16:03.000Z,2021-01-01T23:59:59.999Z
2021-01-03,1,0,0.0348227848101265,0.8623164556962026,0.1028607594936708,79.27848101265823,7.025316455696203,0.22174389,0.23774116,0.21716681,0.22584819,5109898871.42,10254417776.80276,2021-01-03T00:00:00.000Z,2021-01-03T17:10:03.000Z,2021-01-03T07:52:03.000Z,2021-01-03T23:59:59.999Z
2021-01-05,2,0,0.0505185185185185,0.8366666666666667,0.1128271604938271,71.0246913580247,9.34567901234568,0.23663584,0.2412511,0.22160197,0.22675012,5378491929.29,10295369035.413813,2021-01-05T00:00:00.000Z,2021-01-05T11:42:03.000Z,2021-01-05T14:13:03.000Z,2021-01-05T23:59:59.999Z
2021-01-07,3,0,0.0426046511627907,0.8519302325581396,0.1054418604651162,39.58139534883721,3.302325581395349,0.25092553,0.36529635,0.24780984,0.32600198,15955049239.63,14801803204.921062,2021-01-07T00:00:00.000Z,2021-01-07T16:27:03.000Z,2021-01-07T00:16:03.000Z,2021-01-07T23:59:59.999Z
2021-01-09,4,0,0.0351917808219178,0.8733013698630137,0.0915342465753424,68.91780821917808,5.068493150684931,0.32315641,0.33985872,0.30789503,0.32691622,7184429144.91,14843313423.838371,2021-01-09T00:00:00.000Z,2021-01-09T21:22:03.000Z,2021-01-09T01:28:03.000Z,2021-01-09T23:59:59.999Z
2021-01-11,5,0,0.0455479452054794,0.8868356164383562,0.0676438356164383,48.57534246575342,5.1506849315068495,0.31794093,0.31794093,0.25946787,0.28890503,9787288502.54,13117452413.857552,2021-01-11T00:00:00.000Z,2021-01-11T00:00:03.000Z,2021-01-11T03:40:03.000Z,2021-01-11T23:59:59.999Z
2021-01-13,6,0,0.0583214285714285,0.8482619047619048,0.0934761904761904,82.72619047619048,6.904761904761905,0.2920282,0.30879798,0.28688895,0.30557979,4831812051.28,13874553414.057388,2021-01-13T00:00:00.000Z,2021-01-13T22:04:03.000Z,2021-01-13T01:00:03.000Z,2021-01-13T23:59:59.999Z
2021-01-15,7,0,0.0656447368421052,0.8316184210526316,0.1028157894736842,34.39473684210526,4.039473684210527,0.29556898,0.30175669,0.26474733,0.2804055,4955409029.29,12731539390.993313,2021-01-15T00:00:00.000Z,2021-01-15T01:34:03.000Z,2021-01-15T16:10:03.000Z,2021-01-15T23:59:59.999Z
2021-01-17,8,0,0.0464285714285714,0.8479350649350649,0.1056623376623376,46.31168831168832,3.0779220779220777,0.28006687,0.28526809,0.27065174,0.27738365,3488557208.01,12594335138.243153,2021-01-17T00:00:00.000Z,2021-01-17T02:02:03.000Z,2021-01-17T10:04:03.000Z,2021-01-17T23:59:59.999Z
2021-01-19,9,0,0.0573648648648648,0.8203648648648649,0.1222702702702702,52.0945945945946,5.391891891891892,0.28482555,0.32618792,0.283997,0.2943137,5583136814.5,13363027568.889671,2021-01-19T00:00:00.000Z,2021-01-19T06:04:03.000Z,2021-01-19T00:40:03.000Z,2021-01-19T23:59:59.999Z
